,compn,exp.pKa,pred.pKa,M.U.E
3647,6nmecarbamoylpurine_neut->an (+0 -> -1),8.9,9.245622584570336,0.3456225845703358
3648,7methylpurine_cation->neut (+1 -> +0),2.25,2.4011936766754953,0.15119367667549533
3649,4azabenzimidazole_cation->neut (+1 -> +0),3.92,3.3782315711937185,0.5417684288062814
3650,4azabenzimidazole_neut->an (+0 -> -1),11.11,10.835444966652004,0.2745550333479958
3651,124benzotriazine_cation->neut (+1 -> +0),-0.82,-0.03762422981111868,0.7823757701888813
3652,12hphthalazinone_neut->an (+0 -> -1),11.99,11.59523076828949,0.3947692317105105
3653,1thiolphthalazine_neut->an (+0 -> -1),9.99,10.181299185151694,0.19129918515169386
3654,1methylphthalazine_cation->neut (+1 -> +0),4.37,4.483546690062288,0.11354669006228768
3655,2meopyrido12apyrimidin4one_cation->neut (+1 -> +0),1.36,1.772923615621031,0.41292361562103097
3656,8oh5quinolinecarboxylic_cation->neut (+1 -> +0),4.0,3.615767979567994,0.3842320204320062
3657,8oh5quinolinecarboxylic_neut->an (+0 -> -1),4.8,4.474244259526105,0.32575574047389466
3658,8oh5quinolinecarboxylic_an->2an (-1 -> -2),9.32,9.123637238218626,0.19636276178137457
3659,4am2chlnmepyrimidin_cation->neut (+1 -> +0),2.8,2.7827009211659,0.017299078834099646
3660,2am4chlnmepyrimidin_cation->neut (+1 -> +0),2.59,2.641066675799242,0.051066675799241956
3661,4am6chlnmepyrimidin_cation->neut (+1 -> +0),2.24,2.0356440196834003,0.20435598031659996
3662,4dimeam6chlpyrimidin_cation->neut (+1 -> +0),2.42,2.270704799621771,0.14929520037822908
3663,1me4meampyrazolo34dpyrimidine_cation->neut (+1 -> +0),4.2,4.490084681442207,0.2900846814422069
3664,6me4ampyrazolo34dpyrimidine_cation->neut (+1 -> +0),5.52,5.103089453807164,0.4169105461928355
3665,6me4ampyrazolo34dpyrimidine_neut->an (+0 -> -1),11.31,11.276990988911917,0.033009011088083184
3666,3aminomethylbenzoic_cation->neut (+1 -> +0),3.08,3.535349970910941,0.455349970910941
3667,3aminomethylbenzoic_neut->an (+0 -> -1),5.1,4.312695589069451,0.7873044109305489
3668,phenylglycine_cation->neut (+1 -> +0),2.15,1.8938015985069807,0.2561984014930192
3669,phenylglycine_neut->an (+0 -> -1),9.09,8.733156990839106,0.35684300916089384
3670,nndimethylguanidine_cation->neut (+1 -> +0),13.4,13.013947923923952,0.38605207607604797
3671,nmethylurea_cation->neut (+1 -> +0),0.9,0.05382205889732816,0.8461779411026719
3672,ocyclohexylurea_cation->neut (+1 -> +0),10.19,10.181380717732713,0.008619282267286366
3673,4oh135triazanaphthalene_neut->an (+0 -> -1),8.98,9.025463651714803,0.04546365171480282
3674,8oh145triazanaphthalene_cation->neut (+1 -> +0),0.6,0.7506981319783375,0.15069813197833748
