StandardScaler
deprotonated var-ALIE# 1.3133832901158562# 0.39452637726504924
deprotonated avg|EF|# 16.592372309401288# 2.3624641105086974
deprotonated 0.75q|EF|# 16.66288791328552# 2.2154410896249543
deprotonated 0.5q|EF|# 14.38162427923503# 2.2749393479456885
deprotonated avgEF*tang# 13.146740956284974# 1.6663933208524306
deprotonated 0.75qEF*tang# 16.66288791328552# 2.2154410896249543
deprotonated 0.5qEF*tang# 11.60090911219147# 1.6091205450201826
deprotonated avgEF*norm# 8.174124897615709# 1.5825103594708556
deprotonated 0.75qEF*norm# 11.054122540494975# 2.4898689155018348
deprotonated 0.5qEF*norm# 6.3015726924854745# 1.5291858022667493
deprotonated 0.95q|EF|# 29.67230781790923# 4.271518725102132
deprotonated 0.9q|EF|# 24.057410351347148# 3.5325650785873335
deprotonated 0.95qEF*tang# 29.67230781790923# 4.271518725102132
deprotonated 0.9qEF*tang# 24.057410351347148# 3.5325650785873335
