,compn,exp.pKa,pred.pKa,M.U.E
3617,"1,10-Phenanthroline, 2-methyl- (+1 -> +0)",5.45,5.651269934169167,0.20126993416916683
3618,"1,10-Phenanthroline, 3-methyl- (+1 -> +0)",4.98,5.09618165112791,0.1161816511279099
3619,"1,10-Phenanthroline, 5-methyl- (+1 -> +0)",5.26,5.171294887306401,0.08870511269359849
3620,"1,10-Phenanthroline, 4-ethyl- (+1 -> +0)",5.42,5.608034703692051,0.18803470369205133
3621,"1,10-Phenanthroline, 3-ethyl- (+1 -> +0)",4.96,4.880917161597906,0.07908283840209407
3622,"1,10-Phenanthroline, 4-hydroxy- (+1 -> +0)",2.17,2.094317617444708,0.07568238255529192
3623,"1,10-Phenanthroline, 3,4,6,7-tetramethyl- (+1 -> +0)",6.43,6.557336491396309,0.1273364913963091
3624,"1,10-Phenanthroline, 3,4,6,8-tetramethyl- (+1 -> +0)",6.05,6.162473639741225,0.11247363974122493
3625,"1,10-Phenanthroline, 3,4,6-trimethyl- (+1 -> +0)",5.91,5.863108511126779,0.046891488873221476
3626,"1,10-Phenanthroline, 3,4,7-trimethyl- (+1 -> +0)",5.97,5.815557383484569,0.15444261651543112
3627,"1,10-Phenanthroline, 3,5,6-trimethyl-	 (+1 -> +0)",5.32,5.163134153599617,0.15686584640038337
3628,"1,10-Phenanthroline, 3,5,7-trimethyl-		 (+1 -> +0)",5.88,5.802641215329203,0.07735878467079704
3629,"1,10-Phenanthroline, 3,5,8-trimethyl-		"" (+1 -> +0)",5.25,5.190040502816272,0.05995949718372806
3630,"4,7-Phenanthroline, 1-amino- (+1 -> +0)",7.3,7.607013615797306,0.307013615797306
3631,"phenazine, 2,7-diamino- (+1 -> +0)",4.59,4.675141978255526,0.0851419782555265
3632,2-Aminophenazine (+1 -> +0),4.71,4.766481520331093,0.05648152033109266
3633,"phenazine, 2,10-dihydro-10-methyl-2-oxo- (+1 -> +0)",3.05,3.077048194477012,0.02704819447701201
3634,Deacetylaspidospermine (+1 -> +0),8.48,9.150559102065108,0.6705591020651074
3635,"Benzo[c][1,8]naphthyridine (+1 -> +0)",5.2,3.8829608205216353,1.317039179478365
3636,"thiazolo[5,4-d]pyrimidine, 7-methylamino- (+1 -> +0)",2.81,2.758359630311892,0.051640369688108034
3637,"thiazolo[5,4-d]pyrimidine, 7-amino-5-methyl- (+1 -> +0)",3.54,3.6585352852886945,0.1185352852886945
3638,"pyrazolo[3,4-d]pyrimidine, 4-methylamino- (+1 -> +0)",4.49,4.19194971642188,0.29805028357812
3639,"pyrazolo[3,4-d]pyrimidine, 4-methylamino- (+0 -> -1)",10.59,11.51527918550227,0.9252791855022693
3640,"pyrazolo[3,4-d]pyrimidine, 1,6-dimethyl-4-methylamino- (+1 -> +0)",4.96,4.877811300878194,0.08218869912180615
3641,"pyrazolo[3,4-d]pyrimidine, 4-amino-6-methoxy-1-methyl- (+1 -> +0)",3.62,3.415512353605215,0.20448764639478512
3642,"pyrazolo[3,4-d]pyrimidine, 4-amino-6-chloro-1-methyl- (+1 -> +0)",2.65,1.1052048667057255,1.5447951332942744
3643,"purine, 8-methylamino- (+1 -> +0)",4.75,4.799833166094667,0.04983316609466737
3644,"purine, 8-methylamino- (+0 -> -1)",9.59,10.018490734889955,0.42849073488995515
3645,"purine, 2-methyl-6-methylamino- (+1 -> +0)",5.04,5.098064973305852,0.05806497330585181
3646,"purine, 6-(N-methyl)carbamoyl- (+1 -> +0)",1.0,1.2263050829609883,0.22630508296098828
3647,"purine, 6-(N-methyl)carbamoyl- (+0 -> -1)",8.9,8.750826975861642,0.1491730241383582
3648,7-methyl-purine (+1 -> +0),2.25,2.280164105928023,0.030164105928022877
3649,4-azabenzimidazole (+1 -> +0),3.92,3.597617909480401,0.3223820905195991
3650,4-azabenzimidazole (+0 -> -1),11.11,10.966820493011422,0.1431795069885773
3651,"1,2,4-benzotriazine (+1 -> +0)",-0.82,0.09736574636132378,0.9173657463613237
3652,"phthalazine, 1-hydroxy- (+0 -> -1)",11.99,11.443590341688871,0.5464096583111289
3653,"phthalazine, 1-mercapto- (+0 -> -1)",9.99,10.001367488842515,0.011367488842514817
3654,"phthalazine, 1-methyl- (+1 -> +0)",4.37,4.589877006500762,0.21987700650076203
3655,"pyrido[1,2-a]pyrimidine, 2-methoxy-4-oxo- (+1 -> +0)",1.36,1.681230162727494,0.32123016272749383
3656,8-Hydroxy-5-quinolinecarboxylic acid (+1 -> +0),4.0,3.697383989119955,0.30261601088004486
3657,8-Hydroxy-5-quinolinecarboxylic acid (+0 -> -1),4.8,4.450520169555623,0.3494798304443769
3658,8-Hydroxy-5-quinolinecarboxylic acid (-1 -> -2),9.32,9.301841275202026,0.0181587247979742
3659,"pyrimidine, 2-chloro-4-methylamino- (+1 -> +0)",2.8,2.6859862427362984,0.11401375726370144
3660,"pyrimidine, 4-chloro-2-methylamino- (+1 -> +0)",2.59,2.4992414353677637,0.0907585646322362
3661,"pyrimidine, 4-chloro-6-methylamino- (+1 -> +0)",2.24,1.972487939566352,0.2675120604336483
3662,"pyrimidine, 4-chloro-6-dimethylamino- (+1 -> +0)",2.42,2.2775135182305837,0.14248648176941625
3663,"pyrazolo[3,4-d]pyrimidine, 1-methyl-4-methylamino- (+1 -> +0)",4.2,4.381212604670156,0.1812126046701561
3664,"n,6-dimethyl-1h-pyrazolo[3,4-d]pyrimidin-4-amine (+1 -> +0)",5.52,5.148727143616428,0.37127285638357144
3665,"n,6-dimethyl-1h-pyrazolo[3,4-d]pyrimidin-4-amine (+0 -> -1)",11.31,11.366339784354652,0.05633978435465181
3666,3-aminomethylbenzoic (+1 -> +0),3.08,3.414531435566756,0.33453143556675613
3667,3-aminomethylbenzoic (+0 -> -1),5.1,4.291488670233168,0.8085113297668318
3668,Phenylglycine (+1 -> +0),2.15,1.6231601533613969,0.5268398466386031
3669,Phenylglycine (+0 -> -1),9.09,8.95638562102997,0.13361437897003015
3670,"N,N-dmethyl-guanidine (+1 -> +0)",13.4,13.078997650671685,0.3210023493283156
3671,N_methylurea (+1 -> +0),0.9,0.09044344681703631,0.8095565531829637
3672,"urea, O-cyclohexyl- (+1 -> +0)",10.19,9.722267510408333,0.4677324895916666
3673,"1,3,5-Triazanaphthalene, 4-hydroxy- (+0 -> -1)",8.98,9.110114947880081,0.13011494788008093
3674,"1,4,5-Triazanaphthalene, 8-hydroxy- (+1 -> +0)",0.6,0.8553377733621517,0.2553377733621517
3675,"1,4,5-Triazanaphthalene, 8-hydroxy- (+0 -> -1)",8.81,9.205029673227024,0.39502967322702354
3676,"1,4,6-Triazanaphthalene, 5-hydroxy- (+1 -> +0)",-0.78,-0.2376306726999653,0.5423693273000347
3677,"1,4,6-Triazanaphthalene, 5-hydroxy- (+0 -> -1)",11.08,10.721938370345658,0.3580616296543422
3678,"pteridine, 4-acetamido- (+1 -> +0)",1.21,0.9630648908123831,0.24693510918761685
3679,"pteridine, 7-amino- (+1 -> +0)",2.21,2.69309538760003,0.4830953876000299
3680,"pteridine, 2-amino-4,6-dimethyl- (+1 -> +0)",2.66,2.8441049845073847,0.18410498450738455
3681,"pteridine, 2-amino-4,7-dimethyl- (+1 -> +0)",2.59,3.158915352997,0.5689153529970001
3682,"pteridine, 2-amino-4-methyl- (+1 -> +0)",2.81,2.7328848946061433,0.0771151053938568
3683,"pteridine, 2-amino-4,6,7-trimethyl- (+1 -> +0)",2.99,2.9133340395353393,0.0766659604646609
3684,"pteridine, 2,4-diamino (+1 -> +0)",5.3,5.302399724029801,0.0023997240298010425
