,compn,exp.pKa,pred.pKa,M.U.E
1098,tetramethylpyridine_cation->neut (+1 -> +0),7.9,7.682470970108003,0.21752902989199718
1099,tetramethylsuccinic_an->2an (-1 -> -2),7.28,6.650537670980022,0.6294623290199786
1100,tetramethylsuccinic_neut->an (+0 -> -1),3.5,3.2874570888527197,0.2125429111472803
1101,tetrazole_neut->an (+0 -> -1),4.86,5.5690192930714915,0.7090192930714911
1102,tetrolic_neut->an (+0 -> -1),2.62,2.533554695381955,0.0864453046180449
1103,tetronic_neut->an (+0 -> -1),3.76,4.117896742366573,0.3578967423665729
1104,thebaine_cation->neut (+1 -> +0),7.95,8.471082992095013,0.5210829920950131
1105,theobromine_cation->neut (+1 -> +0),0.68,0.4264337006431358,0.25356629935686426
1106,theobromine_neut->an (+0 -> -1),9.97,10.031347742679692,0.061347742679691564
1107,theophilline_neut->an (+0 -> -1),8.55,8.96859794480855,0.4185979448085497
1108,thiabendazole_cation->neut (+1 -> +0),4.64,4.52878287699518,0.11121712300481956
1109,thioacetic_neut->an (+0 -> -1),3.33,2.6564067335291703,0.6735932664708297
1110,thiocyanatoacetic_neut->an (+0 -> -1),2.58,2.603696891095133,0.023696891095132955
1111,thiodiacetic_an->2an (-1 -> -2),4.29,6.126175315940405,1.8361753159404053
1112,thiodiacetic_neut->an (+0 -> -1),3.32,2.2169766560760102,1.1030233439239896
1113,thiophenol_neut->an (+0 -> -1),6.5,6.567412555156435,0.06741255515643463
1114,thiosemicarbazide_cation->neut (+1 -> +0),1.5,0.7606533910436548,0.7393466089563452
1115,thiourea_cation->neut (+1 -> +0),-1.58,-2.5314299862946186,0.9514299862946185
1116,threonine_cation->neut (+1 -> +0),2.09,2.0233045847035562,0.06669541529644363
1117,threonine_neut->an (+0 -> -1),9.1,9.099575202320235,0.00042479767976466576
1118,thymine_neut->an (+0 -> -1),9.9,9.513936503990177,0.3860634960098235
1119,tiglic_neut->an (+0 -> -1),4.96,4.737026141396193,0.22297385860380725
1120,tolylhydroquinone_neut->an (+0 -> -1),10.03,10.035241813473771,0.005241813473771728
1121,tolylhydroquinone_an->2an (-1 -> -2),11.62,12.066650741583356,0.4466507415833565
1122,trans12cyclohexanedicarboxylic_an->2an (-1 -> -2),5.93,5.367793576363449,0.5622064236365505
1123,trans12cyclohexanedicarboxylic_neut->an (+0 -> -1),4.18,4.255044484802588,0.07504448480258841
